expName,screenViewingDist,screenWidthCm,screenHeightCm,taskNum,taskLabel,imLeftRetinalSizeNum,imRightRetinalSizeNum,imLeftKnownSizeNum,imRightKnownSizeNum,imLeftRetinalSize,imRightRetinalSize,imLeftKnownSize,imRightKnownSize,condNum,condLabel,correctSideNum,correctSideLabel,imLeftNum,imRightNum,imLeftName,imRightName,isCorrect,responseNum,responseLabel,RT,sid
Exp_ObjectStroop_AreaControlled,57,41,30.75,2,which is bigger on the screen?,2,1,2,1,r-big,r-small,k-big,k-small,1,congruent,1,left,27,27,ImageFilesMetamers_Paired/Small-visSmall/06_43.jpg,ImageFilesMetamers_Paired/Big-visSmall/06_02.jpg,1,1,leftSide,831.1053,1
Exp_ObjectStroop_AreaControlled,57,41,30.75,2,which is bigger on the screen?,1,2,1,2,r-small,r-big,k-small,k-big,1,congruent,2,right,23,23,ImageFilesMetamers_Paired/Small-visSmall/30_50.jpg,ImageFilesMetamers_Paired/Big-visSmall/30_20.jpg,1,2,rightSide,622.5745,1
Exp_ObjectStroop_AreaControlled,57,41,30.75,2,which is bigger on the screen?,1,2,2,1,r-small,r-big,k-big,k-small,2,incongruent,2,right,8,8,ImageFilesMetamers_Paired/Small-visSmall/17_80.jpg,ImageFilesMetamers_Paired/Big-visSmall/17_21.jpg,1,2,rightSide,533.3618,1
Exp_ObjectStroop_AreaControlled,57,41,30.75,2,which is bigger on the screen?,1,2,1,2,r-small,r-big,k-small,k-big,1,congruent,2,right,24,24,ImageFilesMetamers_Paired/Small-visSmall/03_57.jpg,ImageFilesMetamers_Paired/Big-visSmall/03_36.jpg,1,2,rightSide,415.758,1
Exp_ObjectStroop_AreaControlled,57,41,30.75,2,which is bigger on the screen?,2,1,2,1,r-big,r-small,k-big,k-small,1,congruent,1,left,25,25,ImageFilesMetamers_Paired/Small-visSmall/04_48.jpg,ImageFilesMetamers_Paired/Big-visSmall/04_05.jpg,1,1,leftSide,414.7165,1
Exp_ObjectStroop_AreaControlled,57,41,30.75,2,which is bigger on the screen?,2,1,2,1,r-big,r-small,k-big,k-small,1,congruent,1,left,30,30,ImageFilesMetamers_Paired/Small-visSmall/09_64.jpg,ImageFilesMetamers_Paired/Big-visSmall/09_15.jpg,1,1,leftSide,599.9871,1
Exp_ObjectStroop_AreaControlled,57,41,30.75,2,which is bigger on the screen?,2,1,2,1,r-big,r-small,k-big,k-small,1,congruent,1,left,5,5,ImageFilesMetamers_Paired/Small-visSmall/14_67.jpg,ImageFilesMetamers_Paired/Big-visSmall/14_34.jpg,1,1,leftSide,1039.7595,1
Exp_ObjectStroop_AreaControlled,57,41,30.75,2,which is bigger on the screen?,1,2,2,1,r-small,r-big,k-big,k-small,2,incongruent,2,right,6,6,ImageFilesMetamers_Paired/Small-visSmall/15_72.jpg,ImageFilesMetamers_Paired/Big-visSmall/15_29.jpg,1,2,rightSide,548.5366,1
Exp_ObjectStroop_AreaControlled,57,41,30.75,2,which is bigger on the screen?,1,2,1,2,r-small,r-big,k-small,k-big,1,congruent,2,right,30,30,ImageFilesMetamers_Paired/Small-visSmall/09_64.jpg,ImageFilesMetamers_Paired/Big-visSmall/09_15.jpg,1,2,rightSide,534.7981,1
Exp_ObjectStroop_AreaControlled,57,41,30.75,2,which is bigger on the screen?,2,1,1,2,r-big,r-small,k-small,k-big,2,incongruent,1,left,13,13,ImageFilesMetamers_Paired/Small-visSmall/21_52.jpg,ImageFilesMetamers_Paired/Big-visSmall/21_31.jpg,1,1,leftSide,553.2037,1
